review
bener2 ga amanah banget sen apa yang kirim apa nyeselllll banget
kualitas kurang jahit tidak rapih dan yg pale ngenes ukuranya kecil bgt
saya kecewa baju robek wajah cemberut yang robek kok di kasih apakah ga ada yang baru
tipis kecil banget sesuai lah dgn harga
sabun ia biasa saja gak ada ubah
trim kasih brng ya bgus
bang kok muka saya gk ada ubah sih
sangat kecewa ukur keci bahan tidak sesuai
kalau jual yang bener dong masa 28 kecil bangat sangat kecewa jadi gak ke pake
celana nga bagus kirim cepet peesen kamis siang besok jum sore sampai tapi sayang 27 gede banget
ktanya 38 kok cmn 34
kecewa sama warna sen abu abu ynk d kirim wrna pibk mna kirim ny lma
maaf kakak warna navy bluenya belang depan belakang tak sama
bahan tipis saya mesen 5 pc tapi yg 1 malah reject kalau memang sudah reject jangan di jual dong
kecewa sekali karna ada bagi baju yang robek
tidak sesuai gambar tas buat anak anak yg kirim tas dewasa parah dan kapok sama ftd fashion kecewa b e r t
sen warna biru sama kuning yg dateng warna hitam dan pesan
ga sesuai gambar agak kecewa
mkasih lazada abang kurir nya udh baik sesuai psanan cuma sedikit warna nya ajh yg brbeda tpi gx app kok saya suka mkasih jempol ke atas wajah gembira
panas kain
ini bukan karpet tapi keset jelek
barang nya udah nyampe kirim nya cepet kurir nya ramah bahan nya juga lumayan lah buat harga segitu mh makasih lazada
terima kasih lazada barang nya realpic sesuai di fto ankq suka bngett
kecewa ada yang bolong kaya kena gunting udah tipis bgt bahan
baru pertama kali kecewa belanja di lazada kak kok yg kirim foto orang lain sih wajah tanpa ekspresi
enak dipake bad mantap lazada dan kurir nya juga ramah
dus bonyok
agak kecewa pesan purple ko yg dtng pink
gimana sih barang datang tapi kertas bungkus dan segel rusak seperti sengaja ada yang sobek bikin kecewa
psn moca dtg maroon gimana sih mna psnan org lg hadeuhhhhhh
kurir baik sarung tangan agak kerass
kecewa pesan warna hitam yang kirim warna coklat coffee buang buang waktu saja belanja di toko ini kecewa
semua barang bagus kirim cepat
beli 2 busa nya di kasi cuma satu
barang bagus sesuai harga
kecewa wajah marah ini mh bukan jumbo tp ukur standar minta warna apa d kirim warna apa sungguh kecewa cuma aku suka kurir y ramah banget mksih abang kurir lipat tangan
jelek brgnya tidak sesuai dgn gambar warna teratai yang kirim abu bahan tipis skli seperti kertas tidak berstektur gampang sobek kecewa
bahan ny panas dan nerawang jga saya kecewa
sama size m dgn yg bawah tapi ukur beda jauh
nah ini sablon pakai printing saya suka dan real picture saya suka
barang sesuai pesan kurir jg baik kirim sesuai wktu yg djanjikn
bagus alhamdulilah aku suka banget sesuai pict aku kira besar eh nyata gag begitu besar
barang sudah sampai tapi sedikit kecewa pesan nomor 30 yg datang nomor tidak jelas ada yg 28 terus ada yg nomor 29
blender nya pecah kardus nya juga rusak baru kali ini saya kecewa
stangnya kecil banget nyata wajah bosan cat mudah lecet
bagus kk sesuai bngt bhan nya jg bgus
apa ini jam main busuk kapok dah
rontok semua bulu sapu bukan bersih malah bikin kotor
kecil lg
kecewa sekali masa tali hijab cuma satu parah wajah agak cemberut wajah cemas wajah cemas kan ga bisa di pakai padahal sdh sering beli di toko ini ga teliti sekali kata mau di ganti tapi mana dah minggu lbh ga ada yaudalah biarin aja udah pengirimanya lamaaaa yg datang jg sangat2 kecewa wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
buat bahan si ok tpi warna baju nya ga bgt kya baju bulu dan satu lagi harus nya kalau mw kirim itu wa dlu dah jelas kirim alamat ke kantor dtang rumah ha
gaberfungsi mati idul te
kecewa kirim trllu lama
males blnjandi toko ini lgi nya salah smua
sen 3 kirim 2 wajah bingung kirim si cepat kurir okeh
barang yang datang ukur 38 paksa saya jual lagi ke orang lain
kecewa parah ni toko barang bekas di kirim lihat itu foto begitu kalian kasi barang celana 28 kau rombak jadi 29 lihat itu jahit pertama aku beli pakai uang buka tunggu hadiah
brang ini mana kok tidak di kirim cmn ada 4 gimana si jual niat tidak nunggu udh lama kurang pulak kirim brang nya
bahan nya rebel cuma gede wajah gembira dengan mata bahagia
slama ni sya klu bli di lazada sllu ngasi bintang 5 skrg aku k cewa bintan dua aja cukup
sangat mngecewakan tdk sesuai gambar
sabun nya pada penyok kalau bisa biar rapih lagi jgn sampai pd penyok
jaitanya tidak rapi pas di kancing bagi kerah nya bekas robek trus dijait ngecewain asa beli barang loak wajah senyum tanduk wajah senyum tanduk
barang sih ok tpi warna dan ukur tidak sesuai kurang muas
trimakasih lazada trimakasih utk abang kurir yg sdh antar paket tapi saya sangat kecewa sama toko yg jual barang sblm beli sdh saya chat kalau saya pesan warna kune ya jawab barang ada nyata yg dikrm warna merah jadi tidak kepake saya sangat kecewa sekali
lead light nya tidak ada dan tidak merah warna
kirain bahan melar tau kaku pas bgt bad aku wajah menang keras wajah menang keras
kecewa bangt klou jual peroduk d cek dulu sesuai gk sama yg d gambar jangan asal jual ajh udh mahal barang terus gk sesuai di gambar ada kaki pasbarangnya sampe gk gk ada kaki benar2 kecewa malas kasih bintang cukup ajh yg kecewa jangan sampe orng lain kecewa wajah marah wajah marah wajah marah
barang tidak sesuai gambar bahan tipis banget nerawang ukurannyaa juga kecil kayak jilbab anak sekolah sd unrecommende sorry
udh jelas2 promo beli 1 gratis 1 tapi yg dteng cuma 1
tolong bantu gimana cara nya tv aqua pake remot ini lipat tangan lipat tangan lipat tangan
kecewa kata 3 1 tpi yang dtng gk sesuai postingan jangan php dong
saya mesan nya yg bulat mbk kenpa cuma 1 itu pesan orang mbk mana lama bangeeet datang nya tidak dengar wajah bosan
gue minta kune tua lu kasih malah kuning yang pale cerah salah warna ongkir mahal juga nga teliti bgt si buat ngepacke
warna iya lumayan tapi sangat jelek celana ya pada robek ngk ada yang bener
saya sen 4 yang datang 3 ukur s pula padahal ukur 3 tahun itu bilang size l yh saya pesan jg ukur 3 tahun kok kirim size s saya chat sellernya ga balas tolong sedikit harga buyer
paham ngk sih saya tu beli masker bukan kuas tlong d perhati jgn asal rugi kalu bengini castemr kirim lama
barang mulus tanpa cacat sedikit mgkin karna gk ori ya mknya barang agak ringan mksh abang kurir ramah n maw nganterin biarpun dh mlm
ga ada ulas produk tidak kirim tau lg promo cuman kan kalian adain promo biar orng beli eh udh bayar sesuai yg dingin malah yg dtng cuman 1
kecewa wajah renung
warrna na gx sesuay
kirim lama bahan tipis
kok sama warnya saya kan mesennya beda warna kecewa
prose kirim sangat lama sen baju rajut warna fanta di kirim warna abu2 padahal di chat katae warna fanta ada kecewa belanja di toko ini
ga mewah sesuai iklan
mohin kerja sama dong saya pribadi tidakk rasa terima paket sen saya dari kemaren kemaren
alat cukur nya bunyi nyaring banget g bisa d pakai gmn si jual nya yg bener dong bulan puasa nih ga masalah dus nya beda ama barang nya nyebelin bgt g sesuai dengan rekomendasi nya
celana yg pes ukur nya 33 eeh yg datang malah 31 dan 32 kecewa beli sini sengaja kirim ukur yg tak sesuai toh ttap di bayar karna antar hanya terima uang bukan pngecekan lalu di bayar mohon untuk pihak lazada sedia layan cek pesan sebelm uang di bayar kalau cod terimakasih
baru kirim 2 minggu telah di sen ukur kecil untuk ukur 34 dah kayak ukur 30an
astaga sendal jelek wajah pikir
tvnya guedee banget samping juga tipi kayak asa tv mahaal gitu anti lemoot juga sistem androidnya pokoe wajib beli sih worth banget untuk harga gin
makin tambah buruk jerawat saya jd tambah wajah menang keras
maaf saya aga kecewa sich kirain bneran waterproof tapi nyata pas kena air lngsung leleh
admin saya langgan loh d toko ini bila gk ada warna kuning blng dong jgn d ganti marun semua kn ini pesan orng jg
bahan tipis badan emang besar tapi ukur tangan sempit
paket akhir datang tapi mlm lumayan susah masangnya tapi bagus barang kurir nya ramah terimakasih lazada
gimana mau nulis sen aja tidak nyampe sampe sekarang kirim apa tidak sih
saya kecewa berat sekali cuci lgsg luntur seluntur2ny udh jere warna ny lgsg jd pudar dr hitam jd abu2
bagus barangny adem bahanny lama pengirimanny makasih wat kurirny yg mlm dah nganter ramah pula
jaket y tipis dan ga ada pure y wajah renung wajah dengan mata ke atas
jelek bgt gk muas hasil
gk ad kembang sm skali wajah senyum sombong wajah senyum sombong tetap saja bekas luka gk ad hilang dah pemakaina 2 sabun ttp saja nihil sangat kecewa wajah bosan
udah lewat masa expire lain kali tolong perhati lagi ya
lampir
kecewa bhn kaos pana
alhmdllah sabunx bagus aku cock pke sabun ini jd brsh muka
kecewa sy sen apa wrna apa yg datang model apa wrnanya juga bkn yg saya sen ukur juga kecil
saya kecewa kata 3 tpi yang dateng cuman 1 aja
ukur nya g sesuai pesan celana sangat kecil
bahan y tipis ukur kecil kurir lumayan baik
bhan y tipis banget sesuai hrga
realpic lah lumayan lah buat hrga segitu buat mas kurir maksih udah ujan di anterin mlm pula
udah kirim kata tp sy belum terima
paket udah sampe tpi ngga sesuai sen
parah nih barang sama sekali engga bisa di cas
produkk merriesnya sudah diterimaa packing rapihh kurir ramahh gk pernah tw si duka jd seorg kurir nyampenya ampe mlm tumben jam 8mlm walaupun gk pernah tw start dy kerja dr jam brp dan closenyapun jam brpp walaupun lebih wkt estimasi tapi gpp thxx
kecewa bahan tidak sesuai skripsi dan tipis peke pun asal asal untung aja kurir udah kenal jadi ramah
belum dib
barang nya tidak sesuai dgn gambar nya topi bayi panda pas dtg barang nya jelek model nya jg ga mirip panda kecewaaaa
